split,session_label,run_order_in_session,statistical_unit,coordinate_id,value_ns,is_infinite
calibration,CAL-01,46,selected_analysis_instance,X1,100056,false
calibration,CAL-01,46,selected_analysis_instance,X2,6684,false
calibration,CAL-01,46,selected_analysis_instance,X3,838209,false
calibration,CAL-01,46,selected_analysis_instance,X4,1521895,false
calibration,CAL-01,47,selected_analysis_instance,E2E,5096887,false
calibration,CAL-01,47,selected_analysis_instance,X1,100117,false
calibration,CAL-01,47,selected_analysis_instance,X2,3991062,false
calibration,CAL-01,47,selected_analysis_instance,X3,830235,false
calibration,CAL-01,47,selected_analysis_instance,X4,125473,false
calibration,CAL-01,48,selected_analysis_instance,E2E,1215031,false
calibration,CAL-01,48,selected_analysis_instance,X1,100036,false
calibration,CAL-01,48,selected_analysis_instance,X2,950870,false
calibration,CAL-01,48,selected_analysis_instance,X3,51461,false
calibration,CAL-01,48,selected_analysis_instance,X4,62664,false
calibration,CAL-01,49,selected_analysis_instance,E2E,5157390,false
calibration,CAL-01,49,selected_analysis_instance,X1,100194,false
calibration,CAL-01,49,selected_analysis_instance,X2,3989098,false
calibration,CAL-01,49,selected_analysis_instance,X3,896558,false
calibration,CAL-01,49,selected_analysis_instance,X4,121540,false
calibration,CAL-01,50,selected_analysis_instance,E2E,5516051,false
calibration,CAL-01,50,selected_analysis_instance,X1,100038,false
calibration,CAL-01,50,selected_analysis_instance,X2,2956997,false
calibration,CAL-01,50,selected_analysis_instance,X3,52162,false
calibration,CAL-01,50,selected_analysis_instance,X4,2356854,false
calibration,CAL-01,51,selected_analysis_instance,E2E,1056963,false
calibration,CAL-01,51,selected_analysis_instance,X1,100089,false
calibration,CAL-01,51,selected_analysis_instance,X2,6868,false
calibration,CAL-01,51,selected_analysis_instance,X3,837643,false
calibration,CAL-01,51,selected_analysis_instance,X4,62363,false
calibration,CAL-01,52,selected_analysis_instance,E2E,4091812,false
calibration,CAL-01,52,selected_analysis_instance,X1,100148,false
calibration,CAL-01,52,selected_analysis_instance,X2,3115986,false
calibration,CAL-01,52,selected_analysis_instance,X3,53441,false
calibration,CAL-01,52,selected_analysis_instance,X4,105726,false
calibration,CAL-01,53,selected_analysis_instance,E2E,4148050,false
calibration,CAL-01,53,selected_analysis_instance,X1,100107,false
calibration,CAL-01,53,selected_analysis_instance,X2,3029994,false
calibration,CAL-01,53,selected_analysis_instance,X3,834500,false
calibration,CAL-01,53,selected_analysis_instance,X4,133449,false
calibration,CAL-01,54,selected_analysis_instance,E2E,4219251,false
calibration,CAL-01,54,selected_analysis_instance,X1,100121,false
calibration,CAL-01,54,selected_analysis_instance,X2,3906000,false
calibration,CAL-01,54,selected_analysis_instance,X3,56949,false
calibration,CAL-01,54,selected_analysis_instance,X4,106181,false
calibration,CAL-01,55,selected_analysis_instance,E2E,1068778,false
