split,coordinate_id,planned_session_index,actual_session_id,n_units,median_ns,maximum_ns,failure_count,lag1_pearson,lag1_spearman
validation,X2,16,session_036,175,14987.0,20838.0,0,-0.005294345321463,0.067233207928844
validation,X2,17,session_037,175,15002.0,17900.0,0,0.0212900988523983,0.080246526880018
validation,X2,18,session_038,175,14959.0,971904.0,0,-0.0064996214822109,-0.0595115517264944
validation,X2,19,session_039,175,15026.0,156261.0,0,-0.0028109936005255,-0.0671666100965185
validation,X2,20,session_040,175,14987.0,18237.0,0,0.0106106471051869,0.0552965289677998
validation,X3,1,session_021,175,837050.0,3953998.0,0,-0.1102809732259661,0.0065730800990916
validation,X3,2,session_022,175,829296.0,863462.0,0,0.0798234861620416,0.0304029504290559
validation,X3,3,session_023,175,829075.0,841825.0,0,-0.0048292939963966,0.0576044739569689
validation,X3,4,session_024,175,829035.0,841851.0,0,-0.0057808662339242,-0.0702254741609071
validation,X3,5,session_025,175,829221.0,841681.0,0,-0.001143517183784,0.0809116484617925
validation,X3,6,session_026,175,829025.0,842106.0,0,-0.0053108869933657,0.0861588034160776
validation,X3,7,session_027,175,829078.0,846857.0,0,0.0921188723996818,0.08104928175386
validation,X3,8,session_028,175,829391.0,835136.0,0,-0.0031894997205174,-0.0205952836549851
validation,X3,9,session_029,175,829051.0,842015.0,0,-0.0057749930290279,-0.0316891903435786
validation,X3,10,session_030,175,829115.0,889356.0,0,-0.018549964908173,-0.0656115065303979
validation,X3,11,session_031,175,829022.0,866176.0,0,-0.0010508016592593,0.0380958997959555
validation,X3,12,session_032,175,829196.0,842026.0,0,-0.009742583483067,0.0040593919568456
validation,X3,13,session_033,175,829065.0,842105.0,0,-0.0017294055585033,-0.0182773898880371
validation,X3,14,session_034,175,829257.0,1829965.0,0,0.0010455083703048,0.0718724924442424
validation,X3,15,session_035,175,829136.0,841944.0,0,0.0575573894233652,0.0008827180883173
validation,X3,16,session_036,175,829032.0,844504.0,0,-0.0307349406264245,0.0169225214471532
validation,X3,17,session_037,175,829127.0,832976.0,0,0.01484959597577,0.0235291705676933
validation,X3,18,session_038,175,829060.0,839067.0,0,-0.0062443059844212,-0.1023493888764233
validation,X3,19,session_039,175,829137.0,841918.0,0,-0.0068907248919142,0.0219813638491476
validation,X3,20,session_040,175,829057.0,841495.0,0,0.056719635259179,0.1013429859140812
validation,X4,1,session_021,175,90467.0,3502599.0,1,-0.0368251762242286,0.0544947179589396
validation,X4,2,session_022,175,75466.0,97215.0,0,0.0072085186494806,0.0317618329513925
validation,X4,3,session_023,175,75250.0,115963.0,0,-0.116861017680531,0.134051846874039
validation,X4,4,session_024,175,75426.0,96909.0,0,0.0195663529196315,-0.1107358776817483
validation,X4,5,session_025,175,75380.0,90514.0,0,0.0184570608134633,0.033844173742689
validation,X4,6,session_026,175,75364.0,99337.0,0,0.0113534272125065,0.0231534370803524
validation,X4,7,session_027,175,75327.0,104531.0,0,0.0557390629507627,0.0605646427957187
validation,X4,8,session_028,175,75266.0,1530955.0,0,-0.0113315474566482,0.0139658027759617
validation,X4,9,session_029,175,75182.0,120133.0,0,-0.048131808894438,0.032716603414263
validation,X4,10,session_030,175,75315.0,893133.0,0,-0.0138183793565006,-0.1363180248960954
