instance_id,source,stages,menu_size,gates,risk_budget,method,feasible,bound_ns,risk_sum,frontier_peak,runtime_ns,peak_rss_bytes,seed,selected_menu_ids,calendar_signature
syn_4_3_4_01,synthetic,4,3,4,0.01,pareto_dp,True,1756752,0.00925,3.0,47400,,5292003921811953130,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_01,synthetic,4,3,4,0.01,equal_risk,True,1886709,0.008,,38700,,5292003921811953130,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_01,synthetic,4,3,4,0.01,proportional_risk,True,1886709,0.008,,55900,,5292003921811953130,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_01,synthetic,4,3,4,0.01,greedy_gate_catching,True,1756752,0.00925,,138400,,5292003921811953130,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_02,synthetic,4,3,4,0.01,pareto_dp,True,2013419,0.00925,3.0,49200,,17592892111087812148,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_02,synthetic,4,3,4,0.01,equal_risk,True,2169238,0.008,,40300,,17592892111087812148,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_02,synthetic,4,3,4,0.01,proportional_risk,True,2169238,0.008,,61800,,17592892111087812148,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_02,synthetic,4,3,4,0.01,greedy_gate_catching,True,2013419,0.00925,,139700,,17592892111087812148,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_03,synthetic,4,3,4,0.01,pareto_dp,True,1775337,0.00925,3.0,47900,,1366483428483644973,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_03,synthetic,4,3,4,0.01,equal_risk,True,1912906,0.008,,38100,,1366483428483644973,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_03,synthetic,4,3,4,0.01,proportional_risk,True,1912906,0.008,,56400,,1366483428483644973,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
